FLV,J
0.0011059,0.072062195
0.001286144,0.06639484
0.001495766,0.061173196
0.001739552,0.055851596
0.002074627,0.051929606
0.002412758,0.046556904
0.002841528,0.04250681
0.003304651,0.038809028
0.003891919,0.036083795
0.004469649,0.033245973
0.005198129,0.029806315
0.005895108,0.026966833
0.006942725,0.024846027
0.008176521,0.022684604
0.009390263,0.020523568
0.010784175,0.018909493
0.014223475,0.015619811
0.016541671,0.014261007
0.012541821,0.017264505
0.018997154,0.012902441
0.022093383,0.011780027
0.025373002,0.010657809
0.029882026,0.009642503
0.034752313,0.008803675
0.040416379,0.007892836
0.046415878,0.007140932
0.054664421,0.006402125
0.062778998,0.005739753
0.07301096,0.005192961
0.083848872,0.004698256
0.097514883,0.004136191
0.114844327,0.003674661
0.136965834,0.003235052
0.157297353,0.002874074
0.178388178,0.002553375
0.197279591,0.002331251
0.226564221,0.002109165
0.250557243,0.001890949
0.284152887,0.00166473
